Player,Squad,Age,MP,Gls,Ast,PK,PKatt,CrdY,CrdR,Glsp90,Astp90,GnPKp90,xG,npxG,xA,xGp90,xAp90,npxGp90,CmpPct,TotDist,PrgDist,SCmpPct,MCmpPct,LCmpPct,KP,DrbSuccPct,Tkl,TklW,Blocks,Int,Clr,Err,Pos,Sh,SoT,SoTp90
Davy Klaassen,Everton,24,7,0,0,0,0,0,0,0,0,0,0,0,0.1,0.01,0.03,0.01,76.8,1435,356,42.9,77.3,88.2,2,,2,1,3,1,1,0,"MF,FW",1,1,0.36
Ragnar Klavan,Liverpool,31,19,1,0,0,0,0,0,0.06,0,0.06,0,0,0.1,0,0.01,0,89.5,22754,6753,52.9,92.4,85.6,3,100,14,8,16,16,62,1,DF,1,0,0
Anthony Knockaert,Brighton,25,33,3,1,0,0,4,1,0.11,0.04,0.11,3.5,3.5,2.6,0.13,0.1,0.13,77.8,14515,3682,45.3,85.4,60.5,38,61.5,36,22,40,25,12,0,"MF,FW",45,13,0.48
Sead Kolašinac,Arsenal,24,27,2,4,0,0,3,0,0.08,0.17,0.08,2.5,2.5,2.6,0.11,0.11,0.11,79.3,18804,6890,38.6,84.2,66.8,19,52.6,53,30,22,28,46,1,"DF,MF",21,6,0.25
Vincent Kompany,Manchester City,31,17,1,1,0,0,6,0,0.06,0.06,0.06,0.5,0.5,0.3,0.03,0.02,0.03,91.5,27371,8743,58.3,93.7,87.7,4,100,19,14,18,18,50,0,DF,6,2,0.13
Terence Kongolo,Huddersfield,23,13,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.03,0.02,0.03,65.7,4753,2325,21.7,74,55.4,3,40,32,15,26,30,41,1,DF,2,0,0
Laurent Koscielny,Arsenal,31,25,2,0,0,0,4,0,0.08,0,0.08,1.8,1.8,0.4,0.07,0.02,0.07,87.9,34234,11908,40,89.9,86.2,7,66.7,38,28,45,60,107,1,DF,9,2,0.08
Cheikhou Kouyaté,West Ham,27,33,2,3,0,0,5,0,0.06,0.1,0.06,2.4,2.4,0.9,0.08,0.03,0.08,74.4,11370,2956,40,80,58.9,15,63.3,64,39,50,33,36,0,MF,21,4,0.13
Bojan Krkić,Stoke City,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.02,84,323,68,33.3,89.5,100,1,100,0,0,2,0,0,0,MF,1,0,0
Grzegorz Krychowiak,West Brom,27,27,0,2,0,0,2,0,0,0.11,0,1,1,1.5,0.05,0.08,0.05,77.7,12045,3137,36.7,83.9,67.4,14,68.8,39,28,20,47,20,0,MF,18,4,0.22
Rajiv van La Parra,Huddersfield,26,33,3,0,1,1,3,1,0.13,0,0.08,3.4,2.7,1.3,0.14,0.05,0.11,71.7,8153,1909,26.8,81.2,52.9,16,52.4,42,22,43,18,8,0,"FW,MF",42,13,0.55
Alexandre Lacazette,Arsenal,26,32,14,4,2,2,1,0,0.57,0.16,0.49,12.1,10.5,3.5,0.49,0.14,0.43,75.4,7340,1348,54.1,80,59.8,34,63.8,25,16,24,8,2,0,FW,67,32,1.31
Freddie Ladapo,Crystal Palace,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.6,60,14,,55.6,,0,,0,0,0,0,0,0,FW,0,0,0
Adam Lallana,Liverpool,29,12,0,0,0,0,1,0,0,0,0,1.3,1.3,0.4,0.51,0.17,0.51,85.1,2679,828,50,93.3,52,7,70,1,1,4,1,1,0,"MF,FW",11,0,0
Érik Lamela,Tottenham,25,25,2,2,0,0,4,0,0.21,0.21,0.21,3.3,3.3,1.7,0.35,0.18,0.35,79.3,5861,1114,39.3,87.9,54.4,15,59.4,23,15,8,10,4,0,"FW,MF",18,5,0.53
Manuel Lanzini,West Ham,24,27,5,6,0,1,4,0,0.22,0.26,0.22,3.9,3.2,3.7,0.17,0.16,0.14,83.1,16975,4587,59.3,90,62.1,39,57.1,17,12,19,30,4,0,"MF,FW",43,16,0.71
Aymeric Laporte,Manchester City,23,9,0,0,0,0,1,0,0,0,0,0,0,0.1,0.01,0.01,0.01,91.6,14879,5513,28.6,94.5,88.1,2,100,5,4,6,14,14,0,DF,3,0,0
Jamaal Lascelles,Newcastle Utd,23,33,3,0,0,0,5,0,0.09,0,0.09,1,1,0.2,0.03,0.01,0.03,76.4,18527,7164,35.1,84.4,66,5,69.2,35,18,50,29,197,2,DF,14,9,0.28
Florian Lejeune,Newcastle Utd,26,24,0,2,0,0,3,0,0,0.09,0,0.4,0.4,1.3,0.02,0.06,0.02,76.4,18937,7266,35.5,85.7,67.3,7,85.7,38,24,49,51,125,2,DF,11,2,0.09
Mario Lemina,Southampton,23,25,1,1,0,0,2,0,0.05,0.05,0.05,0.8,0.8,0.5,0.04,0.03,0.04,86.1,16676,3530,66.7,89.9,77,9,74.1,55,40,25,41,31,1,MF,24,5,0.26
Aaron Lennon,Burnley,30,14,0,2,0,0,2,0,0,0.16,0,0.6,0.6,1.1,0.05,0.09,0.05,69.2,3267,845,17.4,76.4,59.1,8,62.5,20,13,25,9,11,0,"MF,FW",10,4,0.32
Aaron Lennon,Everton,30,15,0,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.04,0.06,0.04,68.5,2297,656,5.6,78.4,48.1,5,35.3,15,8,18,13,6,0,"FW,MF",4,1,0.11
Victor Lindelöf,Manchester Utd,23,17,0,0,0,0,1,0,0,0,0,0,0,0.3,0,0.02,0,89.9,13128,4610,65.2,92.9,83.5,2,75,19,14,21,13,43,1,DF,1,0,0
Jesse Lingard,Manchester Utd,24,33,8,5,0,0,2,0,0.4,0.25,0.4,7.8,7.8,3,0.39,0.15,0.39,84.3,12034,2616,68.5,87.9,73.5,27,50,22,15,24,10,10,0,"MF,FW",57,24,1.19
Jake Livermore,West Brom,27,34,2,2,0,0,5,0,0.07,0.07,0.07,2.1,2.1,2.2,0.07,0.07,0.07,77.4,17576,4609,28.2,84,68.4,20,74.2,53,41,60,29,18,0,MF,15,4,0.13
Fernando Llorente,Tottenham,32,16,1,0,0,0,1,0,0.38,0,0.38,0.9,0.9,0.3,0.38,0.11,0.38,67.5,624,116,40,72.6,20,5,0,4,3,1,0,6,0,"FW,DF",7,2,0.76
Hugo Lloris,Tottenham,30,36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,78.2,22373,12440,66.7,99.7,66.2,0,100,0,0,0,2,2,3,GK,0,0,0
Jürgen Locadia,Brighton,23,6,1,1,0,0,0,0,0.4,0.4,0.4,1,1,0.2,0.41,0.08,0.41,70,677,180,42.9,69.7,90,1,100,0,0,1,1,0,0,"FW,MF",5,1,0.4
Ruben Loftus-Cheek,Crystal Palace,21,24,2,3,0,0,1,0,0.1,0.14,0.1,3.4,3.4,2.7,0.16,0.13,0.16,81.9,8808,2729,49,87.5,67.6,23,61.8,15,11,32,25,22,0,"MF,FW",32,7,0.34
Joe Lolley,Huddersfield,24,6,1,0,0,0,1,0,0.41,0,0.41,0.1,0.1,0.1,0.04,0.02,0.04,67.1,916,333,0,74.1,55,1,40,2,1,2,4,0,0,"MF,FW",3,3,1.22
Kevin Long,Burnley,26,16,1,2,0,0,1,0,0.06,0.12,0.06,1.3,1.3,0.9,0.08,0.06,0.08,68.8,9725,3532,25,75.3,63.1,2,50,31,19,34,27,97,0,DF,10,1,0.06
Shane Long,Southampton,30,30,2,1,0,0,6,0,0.11,0.06,0.11,4.7,4.7,1.4,0.27,0.08,0.27,64.4,3923,646,30.6,71.5,47.6,19,50,18,10,18,13,25,0,FW,33,13,0.74
Ademola Lookman,Everton,19,7,0,0,0,0,0,0,0,0,0,0.1,0.1,0.8,0.06,0.45,0.06,79.2,572,134,0,84.2,85.7,2,44.4,2,2,4,1,2,0,"MF,FW",3,0,0
Jonas Lössl,Huddersfield,28,38,0,1,0,0,1,0,0,0.03,0,0,0,0.5,0,0.01,0,58.7,29232,21386,100,97.9,50.9,4,100,0,0,1,4,1,2,GK,0,0,0
Dejan Lovren,Liverpool,27,29,2,1,0,0,4,0,0.08,0.04,0.08,1.7,1.7,1.5,0.07,0.06,0.07,87.9,33092,10274,60,92.4,80.3,7,100,26,11,32,40,143,1,DF,14,5,0.21
Chris Löwe,Huddersfield,28,23,0,0,0,0,1,0,0,0,0,0.3,0.3,0.5,0.02,0.03,0.02,68.4,11200,4680,14.3,80.8,50.5,5,50,34,12,41,36,42,3,DF,8,2,0.11
Matthew Lowton,Burnley,28,26,0,3,0,0,1,0,0,0.12,0,0.1,0.1,1.5,0.01,0.06,0.01,66.4,16595,6964,19.4,79.4,52.2,14,61.1,45,27,77,44,86,0,DF,4,0,0
David Luiz,Chelsea,30,10,1,0,0,0,4,1,0.11,0,0.11,0.5,0.5,0.1,0.06,0.01,0.06,83.4,9930,2710,33.3,89.6,77.3,2,25,19,8,15,24,37,0,"DF,MF",11,4,0.43
Romelu Lukaku,Manchester Utd,24,34,16,7,0,1,4,0,0.5,0.22,0.5,14.1,13.3,5.1,0.44,0.16,0.42,66.3,6960,1582,38.8,71.6,52.6,32,68.5,7,3,15,3,24,4,FW,82,41,1.29
Dodi Lukebakio,Watford,19,1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.08,0.34,0.08,75,126,47,,100,60,1,,1,0,0,0,0,0,MF,1,0,0
Levi Lumeka,Crystal Palace,18,1,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.35,0,0.35,45.5,48,21,0,83.3,0,0,50,1,1,0,1,0,0,FW,1,0,0
Harry Maguire,Leicester City,24,38,2,4,0,0,7,0,0.05,0.11,0.05,2.7,2.7,1.7,0.07,0.04,0.07,77.4,31638,11313,33.3,83.3,71.8,13,75,62,40,49,60,179,1,DF,35,8,0.21
Riyad Mahrez,Leicester City,26,36,12,10,0,0,2,0,0.37,0.31,0.37,5.4,5.4,8.4,0.16,0.26,0.16,73.2,21119,6903,42,82.3,60.1,62,54.5,37,24,42,22,5,0,"MF,FW",73,35,1.07
Ainsley Maitland-Niles,Arsenal,19,15,0,0,0,0,1,0,0,0,0,0.2,0.2,0.7,0.02,0.07,0.02,83.5,8376,2765,36,88.7,72.6,6,79.2,27,15,27,14,20,0,"DF,MF",5,0,0
Scott Malone,Huddersfield,26,22,0,1,0,0,3,0,0,0.08,0,0.7,0.7,0.6,0.06,0.05,0.06,68.4,8825,3702,25,76.9,55.1,10,51.7,38,22,24,26,37,0,DF,9,2,0.16
Sadio Mané,Liverpool,25,29,10,7,0,0,3,1,0.41,0.29,0.41,10.1,10.1,5,0.41,0.2,0.41,79.2,12390,2510,34,83.9,71.2,45,58.1,24,20,21,13,8,0,"FW,MF",71,25,1.03
Eliaquim Mangala,Everton,26,2,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.04,0,0.04,85.3,1409,361,0,87.5,85.2,0,50,1,1,2,1,6,0,DF,1,0,0
Eliaquim Mangala,Manchester City,26,9,0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.04,0.06,0.04,90.3,5938,1900,50,96.2,79.4,2,0,6,5,6,6,19,0,DF,3,0,0
Javier Manquillo,Newcastle Utd,23,21,0,1,0,0,2,0,0,0.05,0,0.1,0.1,0.5,0,0.03,0,71.5,8729,3631,38.2,80.5,47.1,10,50,29,15,46,22,38,1,DF,2,0,0
Solly March,Brighton,22,36,1,1,0,0,3,0,0.05,0.05,0.05,1.4,1.4,1.7,0.07,0.08,0.07,70,9420,2753,22.8,81.9,53.6,16,64.8,52,32,55,15,24,0,"MF,FW",30,9,0.44
Adrian Mariappa,Watford,30,28,0,0,0,0,4,0,0,0,0,0.6,0.6,0.2,0.02,0.01,0.02,74.2,15919,6590,34.4,82.4,61.6,4,57.1,39,17,37,46,99,3,DF,8,2,0.08
João Mário,West Ham,24,13,2,1,0,0,0,0,0.18,0.09,0.18,1.9,1.9,1.3,0.16,0.12,0.16,75.3,5822,1472,40.6,86.2,51.4,14,65,14,10,9,10,2,0,"MF,FW",16,4,0.35
Anthony Martial,Manchester Utd,21,30,9,5,1,1,1,0,0.51,0.28,0.46,6.9,6.1,5.4,0.39,0.31,0.35,77.9,8804,2236,40.3,85.3,55.8,31,51.8,13,9,12,4,2,0,"FW,MF",49,15,0.85
Cuco Martina,Everton,27,21,0,2,0,0,2,0,0,0.1,0,0.2,0.2,1,0.01,0.05,0.01,75,14004,6338,32.3,85.4,54.9,13,33.3,59,38,45,46,90,2,DF,3,2,0.1
Bruno Martins Indi,Stoke City,25,17,0,0,0,0,3,0,0,0,0,0.5,0.5,0.1,0.03,0.01,0.03,78.6,6381,2141,28.6,81.4,76.5,3,,14,7,19,19,68,0,DF,4,0,0
Arthur Masuaku,West Ham,23,27,0,3,0,0,5,0,0,0.14,0,0.2,0.2,2.1,0.01,0.1,0.01,71.1,10716,3731,22.8,83.4,47.2,18,62.2,52,36,33,27,16,1,"MF,DF",8,3,0.14
Juan Mata,Manchester Utd,29,28,3,5,0,0,1,0,0.14,0.23,0.14,2.8,2.8,4.7,0.13,0.22,0.13,81.6,18369,4188,56.6,88.4,65.6,51,76,14,8,22,14,5,0,"FW,MF",28,10,0.47
Nemanja Matić,Manchester Utd,28,36,1,1,0,0,6,0,0.03,0.03,0.03,0.6,0.6,1.7,0.02,0.05,0.02,86.7,44629,11737,42.4,91.3,80.5,24,73.3,70,50,72,67,51,3,MF,21,2,0.06
Joël Matip,Liverpool,25,25,1,0,0,0,3,0,0.05,0,0.05,2.4,2.4,0.5,0.11,0.02,0.11,88.1,32779,10653,54.5,92.6,82.4,4,50,38,23,32,39,76,4,DF,13,2,0.09
Konstantinos Mavropanos,Arsenal,19,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,86.6,1717,529,33.3,91.9,81.3,0,,2,1,4,7,11,0,DF,0,0,0
Alfie Mawson,Swansea City,23,38,2,1,0,0,3,0,0.05,0.03,0.05,2.2,2.2,0.4,0.06,0.01,0.06,80.2,33271,10485,35.3,86.3,74.6,6,75,37,22,61,43,196,3,DF,18,6,0.16
Eric Maxim Choupo-Moting,Stoke City,28,30,5,5,0,0,3,0,0.19,0.19,0.19,5.1,5.1,3.5,0.2,0.14,0.2,68.7,7336,1939,32.3,75.9,54.1,21,56.9,40,23,38,23,20,0,"FW,MF",58,17,0.66
Chancel Mbemba,Newcastle Utd,22,9,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.05,0,70.4,3704,1725,11.1,81.1,51.3,4,100,17,12,10,15,34,0,DF,0,0,0
James McArthur,Crystal Palace,29,33,5,1,0,0,5,0,0.19,0.04,0.19,4.7,4.7,1.2,0.18,0.04,0.18,78.5,14677,3608,41.1,84.9,66.4,21,67.9,66,37,58,43,26,1,"MF,FW",31,10,0.37
Gareth McAuley,West Brom,37,9,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,66.4,2354,1298,50,71.2,62.7,0,100,6,4,7,11,10,0,DF,1,0,0
Oliver McBurnie,Swansea City,21,11,0,1,0,0,0,0,0,0.33,0,0.5,0.5,0.5,0.17,0.15,0.17,71.7,929,171,50,76.5,50,1,100,3,2,2,1,3,0,FW,6,3,0.98
Alex McCarthy,Southampton,27,18,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,45.4,7119,5297,100,95.7,37.3,0,,0,0,0,1,0,0,GK,0,0,0
James McCarthy,Everton,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0.02,71.7,1263,206,50,78.8,58.6,1,100,12,8,7,6,5,0,MF,1,0,0
James McClean,West Brom,28,30,1,0,0,0,7,0,0.06,0,0.06,1.7,1.7,0.7,0.11,0.05,0.11,63.7,5015,1297,29.8,78.1,40.5,13,48.8,36,22,31,20,10,0,"MF,FW",30,6,0.38
Sam McQueen,Southampton,22,7,0,0,0,0,0,0,0,0,0,0,0,0.2,0.01,0.11,0.01,70.5,724,293,40,79,36.4,3,66.7,5,3,1,3,3,0,"DF,FW",1,0,0
Scott McTominay,Manchester Utd,20,13,0,0,0,0,2,0,0,0,0,0.3,0.3,0,0.05,0.01,0.05,88.2,5588,1492,66.7,91.4,80.8,2,75,11,11,8,15,8,0,MF,3,0,0
Ben Mee,Burnley,27,29,0,0,0,0,5,0,0,0,0,1.8,1.8,0.3,0.06,0.01,0.06,73.6,19144,8087,26.7,82.1,65.5,5,100,33,18,80,38,150,1,DF,25,7,0.24
Benjamin Mendy,Manchester City,22,7,0,1,0,0,2,0,0,0.25,0,0.2,0.2,0.5,0.05,0.13,0.05,78,3427,1061,25,84.4,63.6,7,33.3,6,4,9,8,8,0,DF,7,1,0.25
Mikel Merino,Newcastle Utd,21,24,1,1,0,0,4,0,0.07,0.07,0.07,0.5,0.5,0.6,0.04,0.04,0.04,79.6,12033,3548,63.6,83.9,69.4,15,71.1,52,34,46,37,18,0,MF,17,6,0.4
Per Mertesacker,Arsenal,32,6,1,0,0,0,0,0,0.25,0,0.25,0.2,0.2,0,0.05,0,0.05,91.7,4846,1574,50,92,93.2,0,,2,2,9,6,21,1,DF,3,2,0.49
Roque Mesa,Swansea City,28,11,0,0,0,0,3,0,0,0,0,0.2,0.2,0.3,0.02,0.04,0.02,86.7,7855,1535,8.3,91.3,81.4,6,100,18,11,13,13,3,1,MF,7,1,0.12
Simon Mignolet,Liverpool,29,19,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,73,9980,6079,50,98.7,51.4,0,100,0,0,1,0,0,1,GK,0,0,0
Luka Milivojević,Crystal Palace,26,36,10,1,6,7,8,0,0.29,0.03,0.12,7.3,2,1.2,0.21,0.04,0.06,79.7,28100,8756,48.1,87.6,67.8,21,73,74,48,72,80,66,2,MF,34,9,0.26
James Milner,Liverpool,31,32,0,3,0,0,3,0,0,0.15,0,1.7,1.7,3.4,0.09,0.17,0.09,81.8,25395,8070,49.1,89.3,67.3,38,65,53,30,39,23,21,0,MF,22,7,0.35
Tyrone Mings,Bournemouth,24,4,0,0,0,0,1,0,0,0,0,0,0,0.1,0.01,0.05,0.01,77,1905,735,25,88.1,64.3,1,,2,2,4,5,11,1,DF,1,0,0
Kevin Mirallas,Everton,29,5,0,0,0,0,1,0,0,0,0,0.2,0.2,0,0.11,0.03,0.11,79.7,835,173,50,80,86.7,1,100,2,2,0,0,1,0,"FW,MF",4,2,1.3
Aleksandar Mitrović,Newcastle Utd,22,6,1,0,0,0,0,0,0.95,0,0.95,1.6,1.6,0.4,1.64,0.42,1.64,70.9,510,97,42.9,80.5,42.9,3,33.3,1,1,3,0,1,0,FW,5,3,2.84
Henrikh Mkhitaryan,Arsenal,28,11,2,4,0,0,0,0,0.23,0.45,0.23,1.7,1.7,2.4,0.2,0.27,0.2,74.2,5517,1358,47.8,81.5,51.6,15,60,19,7,17,10,3,0,"FW,MF",21,11,1.25
Henrikh Mkhitaryan,Manchester Utd,28,15,1,5,0,0,2,0,0.1,0.49,0.1,1,1,3.5,0.1,0.34,0.1,77,6980,1717,48.6,85.7,55.8,29,40,13,9,18,10,0,0,"MF,FW",15,5,0.49
Nacho Monreal,Arsenal,31,28,5,2,0,0,3,0,0.2,0.08,0.2,1.6,1.6,1.2,0.06,0.05,0.06,87.7,28452,10172,53.7,91.1,81,12,37.5,51,23,36,60,72,0,DF,21,8,0.32
Aaron Mooy,Huddersfield,26,36,4,3,1,1,4,0,0.12,0.09,0.09,2.7,1.9,4,0.08,0.12,0.06,74.7,27943,7847,37,85.3,56.2,49,57.1,81,40,58,38,41,0,MF,29,6,0.18
Álvaro Morata,Chelsea,24,31,11,6,0,0,7,0,0.48,0.26,0.48,13.4,13.4,3.3,0.58,0.15,0.58,70.9,6303,879,43.8,75.8,62.1,31,47.6,9,6,16,6,19,0,FW,83,33,1.44
Alberto Moreno,Liverpool,24,16,0,0,0,0,1,0,0,0,0,0.5,0.5,0.9,0.04,0.06,0.04,80.5,14525,4948,26.9,89.3,61.7,15,77.8,35,27,24,12,22,0,DF,12,2,0.14
Wes Morgan,Leicester City,33,32,0,0,0,0,4,0,0,0,0,1.8,1.8,0.3,0.06,0.01,0.06,80.2,14486,5226,61.9,84.6,71.3,5,75,33,22,62,32,142,2,DF,13,2,0.06
James Morrison,West Brom,31,4,1,0,0,0,0,0,0.43,0,0.43,0.6,0.6,0.1,0.28,0.05,0.28,83.9,1225,248,60,85.3,84.6,3,50,1,1,3,1,0,0,MF,4,2,0.87
Victor Moses,Chelsea,26,28,3,3,0,0,3,0,0.13,0.13,0.13,3.2,3.2,2.5,0.13,0.11,0.13,72.9,13763,4144,22.2,81.7,56.6,21,67.4,41,23,46,17,32,2,"DF,MF",37,11,0.47
Steve Mounié,Huddersfield,22,28,7,1,0,0,2,0,0.34,0.05,0.34,5.3,5.3,0.9,0.25,0.04,0.25,63.2,4502,719,52.4,65.2,56.4,14,60.9,15,12,26,9,24,0,FW,50,22,1.07
Lucas Moura,Tottenham,24,6,0,1,0,0,0,0,0,0.43,0,0.2,0.2,0.2,0.07,0.1,0.07,80.5,1381,343,25,84.8,70.6,5,41.7,2,0,2,3,1,0,FW,5,2,0.86
Lys Mousset,Bournemouth,21,23,2,0,0,0,1,0,0.3,0,0.3,1.4,1.4,0.4,0.21,0.07,0.21,59.7,1539,409,23.5,65.7,52,3,57.6,5,4,7,2,6,0,"FW,MF",22,6,0.91
Jacob Murphy,Newcastle Utd,22,25,1,1,0,0,0,0,0.08,0.08,0.08,1.7,1.7,1.2,0.13,0.09,0.13,61.8,3334,1212,23.1,75.2,36.4,10,53.2,12,9,25,2,5,0,"FW,MF",22,7,0.55
Jamie Murphy,Brighton,27,4,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.04,0.01,0.04,84.8,632,89,0,92.1,100,1,60,1,1,1,1,0,0,MF,1,0,0
Glenn Murray,Brighton,33,35,12,0,4,6,9,0,0.49,0,0.33,11.8,7.3,1,0.48,0.04,0.3,58.5,5101,1044,37.3,61.7,52.5,15,21.4,14,9,16,5,28,0,FW,48,20,0.82
Charly Musonda Jr.,Chelsea,20,3,0,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.57,1.2,0.57,87.5,287,58,,84.6,100,1,100,0,0,1,0,1,0,FW,2,0,0
Shkodran Mustafi,Arsenal,25,27,3,1,0,0,6,0,0.12,0.04,0.12,1,1,0.5,0.04,0.02,0.04,84.2,32740,10946,47.6,89.7,76.4,5,50,60,31,30,56,138,5,DF,17,6,0.24
Boaz Myhill,West Brom,34,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,53.3,405,311,,100,50,0,,0,0,0,0,0,0,GK,0,0,0
Georges-Kévin N'Koudou,Burnley,22,8,0,0,0,0,1,0,0,0,0,0.1,0.1,0,0.05,0,0.05,69.2,1121,127,44.4,77,57.1,0,40,8,6,6,1,1,0,MF,4,0,0
Georges-Kévin N'Koudou,Tottenham,22,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,0,,0,0,0,0,1,0,MF,0,0,0
Luciano Narsingh,Swansea City,26,18,1,0,0,0,0,0,0.14,0,0.14,1.1,1.1,1.2,0.16,0.17,0.16,73.7,2475,725,16.7,83.4,56.3,10,60,6,5,8,3,3,0,"FW,MF",10,5,0.72
Kyle Naughton,Swansea City,28,34,0,2,0,0,1,0,0,0.06,0,0.4,0.4,0.5,0.01,0.01,0.01,73.1,27106,12322,31.8,82.3,55.8,11,69.1,93,51,108,69,82,0,DF,12,1,0.03
Badou Ndiaye,Stoke City,26,13,2,1,0,0,5,0,0.16,0.08,0.16,1.3,1.3,0.3,0.1,0.02,0.1,79.2,5225,1779,66.7,84.1,68.1,5,52.6,38,18,24,14,11,0,MF,20,6,0.47
Wilfred Ndidi,Leicester City,20,33,0,3,0,0,8,4,0,0.09,0,1.9,1.9,0.8,0.06,0.02,0.06,74.9,22836,5473,42.9,80.5,65.2,12,58.5,130,77,72,56,85,0,MF,39,5,0.16
Reiss Nelson,Arsenal,17,3,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.07,0.02,0.07,91.5,1102,287,50,97,75,1,60,4,4,5,2,0,0,"MF,FW",2,1,0.62
Julien Ngoy,Stoke City,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,73,0,,80,,0,,1,0,0,0,0,0,"FW,MF",0,0,0
Oumar Niasse,Everton,27,22,8,2,0,0,2,0,0.66,0.17,0.66,6.8,6.8,2,0.57,0.16,0.57,62.3,2247,451,37.9,68,44,13,57.1,6,3,6,4,7,0,FW,38,18,1.49
Eddie Nketiah,Arsenal,18,3,0,1,0,0,0,0,0,4.5,0,0.1,0.1,0,0.3,0,0.3,87.5,94,8,,87.5,,0,,1,1,0,0,0,0,"FW,MF",1,0,0
Lukas Nmecha,Manchester City,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,64,6,,100,100,0,0,0,0,0,0,0,0,FW,0,0,0
Mark Noble,West Ham,30,29,4,0,2,2,6,0,0.15,0,0.07,2.3,0.8,1.8,0.09,0.07,0.03,82.2,21926,6242,45.9,88.2,72,20,69.6,53,36,46,54,24,3,MF,13,4,0.15
Allan Nyom,West Brom,29,29,0,1,0,0,7,0,0,0.04,0,0.1,0.1,0.9,0,0.04,0,71.6,14092,5873,15.6,84.1,48.3,15,43.3,57,29,36,29,57,2,DF,3,0,0
Aiden O'Neill,Burnley,18,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,MF,,0,0
Michael Obafemi,Southampton,17,1,0,0,0,0,0,0,0,0,0,0.3,0.3,0,2.89,0,2.89,100,9,0,,100,,0,,0,0,0,0,0,0,FW,1,0,0
Pedro Obiang,West Ham,25,21,2,0,0,0,3,0,0.12,0,0.12,0.4,0.4,0.4,0.02,0.02,0.02,78.8,11776,2962,45.2,84.1,70.8,7,92.3,43,29,51,24,11,0,MF,14,5,0.29
Angelo Ogbonna,West Ham,29,32,1,0,0,0,3,0,0.03,0,0.03,0.6,0.6,0.5,0.02,0.02,0.02,77.3,19114,6353,35,84.9,69.1,9,75,30,20,51,62,122,1,DF,8,2,0.06
Stefano Okaka,Watford,27,15,1,1,0,0,2,0,0.2,0.2,0.2,1.4,1.4,0.4,0.28,0.07,0.28,68.1,1578,263,39.1,73.5,70,7,61.5,10,7,3,0,0,0,"FW,MF",10,3,0.6
Shinji Okazaki,Leicester City,31,27,6,2,0,0,2,0,0.41,0.14,0.41,6.3,6.3,1.9,0.43,0.13,0.43,71.9,3635,970,54.2,76.1,47.2,15,50,26,19,28,8,3,0,"MF,FW",27,14,0.95
Martin Olsson,Swansea City,29,36,0,1,0,0,7,0,0,0.03,0,0.8,0.8,1,0.02,0.03,0.02,69.4,18168,7182,34.9,82.4,43.8,13,42.9,34,23,45,35,58,1,"DF,MF",19,1,0.03
Divock Origi,Liverpool,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,FW,0,0,0
David Ospina,Arsenal,28,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,2371,1416,,100,65,0,,0,0,0,0,0,0,GK,0,0,0
Nicolás Otamendi,Manchester City,29,34,4,0,0,0,9,0,0.12,0,0.12,2.7,2.7,0.5,0.08,0.01,0.08,91.3,58084,16161,60,94,86.9,10,80,53,29,36,51,83,2,DF,36,10,0.3
Reece Oxford,West Ham,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,19,17,,100,,0,,2,1,0,0,0,0,MF,0,0,0
Alex Oxlade-Chamberlain,Liverpool,23,32,3,7,0,0,3,0,0.18,0.42,0.18,2.1,2.1,3.5,0.13,0.21,0.13,76.4,12300,3611,45.5,83.8,64.2,32,64.2,26,16,44,23,10,0,"MF,FW",39,15,0.9
Alex Oxlade-Chamberlain,Arsenal,23,3,0,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.09,0.18,0.09,76.8,2507,811,16.7,87,66,6,84.6,3,2,10,8,3,0,"MF,DF",9,2,0.75
